"Contributor Name","Contributor Non Individual ","Contributing PAC Reg No","Address","City","State","Zip","Report Type","Year","Contribution Date","Amount","Event Date","Employer/Occupation","Committee","Contributor First Name","Contributor Middle Name","Contributor Last Name","Contributor Suffix"
"","POLITICAL EDUCATION PATTERNS IUOE","C00065870","3515 PROSPECT AVE","CLEVELAND","OH","44115","PRE-PRIMARY","2020","01/21/2020","$13,000.00","","","LARE FOR OHIO","","","",""
"","OHIO STATE ASSOC PLUMBERS & PIPEFITTERS","PCE","140 DORCHESTER SQ S #A","WESTERVILLE","OH","43081","PRE-PRIMARY","2020","01/24/2020","$2,000.00","","","LARE FOR OHIO","","","",""
"","NW OHIO BUILDING /CONSTRUCTION TRADES COUNCIL","PCE","909 FRONT STREET","TOLEDO","OH","43605","PRE-PRIMARY","2020","01/24/2020","$1,000.00","","","LARE FOR OHIO","","","",""
"","PLUMBERS & PIPEFITTERS LU 189","PCE6220","1250 KINNEAR RD","COLUMBUS","OH","43212","PRE-PRIMARY","2020","01/24/2020","$500.00","","","LARE FOR OHIO","","","",""
"","OHIO CONTRACTORS PAC","CP295","1313 DUBLIN RD","COLUMBUS","OH","43215","PRE-PRIMARY","2020","01/31/2020","$1,000.00","","","LARE FOR OHIO","","","",""
"","OHIO LABORER DIST COUNCIL PAC","LA1722","152 DORCHESTER SQ S","WESTERVILLE","OH","43081","PRE-PRIMARY","2020","02/12/2020","$500.00","","","LARE FOR OHIO","","","",""
"","ASBESTOS WORKERS PAC","C00115527","9602 M L KING HWY","LANHAM","MD","20706","PRE-PRIMARY","2020","02/12/2020","$1,000.00","","","LARE FOR OHIO","","","",""
"","ACT OHIO FOUNDATION","PCE","222 E TOWN STREET","COLUMBUS","OH","43215","PRE-PRIMARY","2020","02/12/2020","$2,000.00","","","LARE FOR OHIO","","","",""
"","IBEW VOLUNTARY FUND","C00027342","900 SEVENTH ST NW","WASHINGTON","DC","20001","PRE-PRIMARY","2020","02/12/2020","$1,000.00","","","LARE FOR OHIO","","","",""
"","IRON WORKERS LOCAL UNION 172","PCE","2867 S HIGH STREET","COLUMBUS","OH","43207","PRE-PRIMARY","2020","02/12/2020","$200.00","","","LARE FOR OHIO","","","",""
"","OHIO IRON WORKERS ASSOC","PCE","2867 S HIGH STREET","COLUMBUS","OH","43207","PRE-PRIMARY","2020","02/12/2020","$1,000.00","","","LARE FOR OHIO","","","",""
"","VSSP ADVOCATES FOR EFFECTIVE GOVT","OH108","52 E GAY STREET","COLUMBUS","OH","43215","PRE-PRIMARY","2020","02/26/2020","$350.00","","","LARE FOR OHIO","","","",""
"","CHARTER COMMUNICATIONS OHIO PAC","CP1319","580 N. 4TH STREET, SUITE 350","COLUMBUS","OH","43215","PRE-PRIMARY","2024","01/15/2024","$1,000.00","","","LARE FOR OHIO","","","",""
